seller_id_values,seller_city,seller_state,total_products,total_orders,Revenue_2016,Revenue_2017,Revenue_2018,total_revenue
S00206,sa~o paulo,SP,2,2,0,206.82,206.82,413.64
S00217,montenegro,RS,135,135,0,30342.69,30342.69,60685.38
S00220,sa~o paulo,SP,4,4,0,0,406.41,406.41
S00221,assis,SP,74,74,0,5823.9,5823.9,11647.8
S00223,sa~o paulo,SP,9,9,0,1004,0,1004
S00225,caxias do sul,RS,6,6,0,0,1063.97,1063.97
S00229,sa~o paulo,SP,1,1,0,37.68,0,37.68
S00230,ponta grossa,PR,8,8,0,0,596.51,596.51
S00231,osasco,SP,23,23,0,4755.88,4755.88,9511.76
S00233,Santa Bárbara d'Oeste,SP,3,3,0,0,151.14,151.14
S00235,santos,SP,8,8,0,536.89,536.89,1073.78
S00239,lauro de freitas,BA,1,1,0,0,2818.74,2818.74
S00242,santo andre,SP,38,38,0,4441,4441,8882
S00256,sa~o paulo,SP,8,8,0,0,1983.29,1983.29
S00273,guarulhos,SP,28,28,0,3086.15,3086.15,6172.3
S00275,anapolis,GO,11,11,0,2495.41,2495.41,4990.82
S00280,betim,MG,116,116,0,11047.23,11047.23,22094.46
S00281,riberao preto,SP,255,255,0,60280.73,60280.73,120561.46
S00282,sa~o paulo,SP,4,4,0,1512.99,0,1512.99
S00290,sa~o paulo,SP,4,4,0,0,397.14,397.14
S00291,sa~o paulo,SP,121,121,0,9049.72,9049.72,18099.44
S00293,ibitinga,SP,440,440,0,28187.85,28187.85,56375.7000000001
S00295,marilia,SP,1,1,0,0,178.92,178.92
S00299,assis,SP,8,8,0,2087.89,0,2087.89
S00313,bocaiuva do sul,PR,11,11,0,2490.4,2490.4,4980.8
S00320,sa~o paulo,SP,56,56,0,3976.97,0,3976.97
S00322,penapolis,SP,30,30,0,4646.78,4646.78,9293.56
S00324,sa~o paulo,SP,9,9,0,1049.57,1049.57,2099.14
S00325,joinville,SC,3,3,0,658.51,0,658.51
S00327,limeira,SP,21,21,0,0,2751.17,2751.17
S00329,santos,SP,12,12,0,11062.72,11062.72,22125.44
S00330,sarandi,PR,145,145,0,23589.12,23589.12,47178.24
S00332,sa~o paulo,SP,1,1,0,39.42,0,39.42
S00335,nova iguacu,RJ,37,37,0,1530.25,1530.25,3060.5
S00337,sa~o paulo,SP,11,11,0,0,1257.48,1257.48
S00338,fazenda rio grande,PR,9,9,0,0,1006.66,1006.66
S00339,lambari,MG,2,2,0,0,225.61,225.61
S00344,barrinha,SP,2,2,0,71.18,0,71.18
S00345,indaial,SC,4,4,0,0,226.47,226.47
S00349,sa~o paulo,SP,12,12,0,0,573.19,573.19
S00363,sa~o paulo,SP,126,126,0,18223.65,18223.65,36447.3
S00366,sa~o paulo,SP,60,60,0,4225.12,4225.12,8450.24
S00401,osasco,SP,3,3,0,120.22,0,120.22
S00402,ribeirao preto,SP,397,397,0,58850.38,58850.38,117700.76
S00404,registro,SP,25,25,3806.33,3806.33,3806.33,11418.99
S00407,uberlandia,MG,14,14,0,3969.83,3969.83,7939.66
S00412,Belo Horizonte,MG,1,1,0,109.42,0,109.42
S00414,sa~o paulo,SP,3,3,0,0,831.26,831.26
S00417,caxias do sul,RS,11,11,0,837.67,837.67,1675.34
S00423,capivari,SP,53,53,0,12721.54,12721.54,25443.08
S00425,niteroi,RJ,36,36,0,0,14452.65,14452.65
S00433,osasco,SP,165,165,0,36199.33,36199.33,72398.66
S00435,campinas,SP,4,4,0,321.77,321.77,643.54
S00440,poa,SP,142,142,0,9938.59,9938.59,19877.18
S00446,sa~o paulo,SP,108,108,12066.02,12066.02,12066.02,36198.06
S00451,sa~o paulo,SP,15,15,0,1244.65,1244.65,2489.3
S00454,curitiba,PR,10,10,0,0,696.93,696.93
S00457,curitiba,PR,12,12,0,0,636.15,636.15
S00459,franca,SP,4,4,0,0,189.68,189.68
S00462,rio de janeiro,RJ,2,2,0,0,80.75,80.75
