product_id_values,avg_review,main_categories,total_quantity_sold,Revenue_2016,Revenue_2017,Revenue_2018,product_lifecycle,sellers_inolved,transaction_value,total_customers_bought
P19201,4,Home & Furniture,5,0,26.9,0,only one year,5,206.17,5
P02405,4,Electronics & Technology,5,0,25,0,only one year,5,210.18,5
P32467,3,NULL,5,0,0,28.85,only one year,5,213.19,5
P19631,3,Home & Furniture,5,22.37,22.37,0,First two years,5,213.9,5
P01023,3,"Construction tools ,arts & Others",5,0,0,28.85,only one year,5,217.63,5
P24051,4,"Construction tools ,arts & Others",5,0,30,30,last two years,5,218.29,5
P25782,4,"Sports, Toys & Leisure",5,0,0,30.9,only one year,5,223.61,5
P07272,4,"Construction tools ,arts & Others",5,0,0,34.4,only one year,5,223.86,5
P13537,3,"Construction tools ,arts & Others",5,0,0,24,only one year,5,224.69,5
P31068,3,Beauty & Personal Care,5,0,29.99,29.99,last two years,5,225.81,5
P24112,4,"Sports, Toys & Leisure",5,0,0,29.99,only one year,5,227.39,5
P21572,3,"Sports, Toys & Leisure",5,0,34.95,0,only one year,5,228.14,5
P07110,3,Home & Furniture,5,0,33.12,33.12,last two years,5,230.94,5
P24297,4,"Sports, Toys & Leisure",5,0,36.7,36.7,last two years,5,231.62,5
P14126,3,Beauty & Personal Care,5,0,0,30.99,only one year,5,232.71,5
P24545,5,Electronics & Technology,5,0,31.56,31.56,last two years,5,233.49,5
P27324,4,"Sports, Toys & Leisure",5,0,30.94,30.94,last two years,5,233.72,5
P07830,3,Electronics & Technology,5,0,29.5,0,only one year,5,236.47,5
P14172,3,Beauty & Personal Care,5,27.64,27.64,0,First two years,5,246.81,5
P05658,4,"Sports, Toys & Leisure",5,0,0,31.9,only one year,5,248.94,5
P08997,4,Home & Furniture,5,0,34.19,0,only one year,5,256.95,5
P14736,4,Home & Furniture,5,0,39.9,39.9,last two years,5,258.48,5
P31330,3,Beauty & Personal Care,5,0,28.1,28.1,last two years,5,260.48,5
P18505,3,Home & Furniture,5,0,35.3,35.3,last two years,5,260.7,5
P25484,4,Electronics & Technology,5,0,36.9,36.9,last two years,5,264.71,5
P09508,4,Home & Furniture,5,0,35.99,35.99,last two years,5,265.05,5
P24615,4,Electronics & Technology,5,0,38,0,only one year,5,265.32,5
P19630,4,Electronics & Technology,5,0,38.9,38.9,last two years,5,265.61,5
P02412,3,"Sports, Toys & Leisure",5,0,39,39,last two years,5,265.89,5
P00443,4,Beauty & Personal Care,5,0,39.1,39.1,last two years,5,266.26,5
P23668,4,Home & Furniture,5,0,37.9,37.9,last two years,5,268.57,5
P11685,4,Fashion & Accessories,5,0,0,39.9,only one year,5,270.11,5
P01034,4,Electronics & Technology,5,0,0,34.2,only one year,5,270.59,5
P05885,3,Electronics & Technology,5,0,39.99,0,only one year,5,270.61,5
P27011,4,Home & Furniture,5,0,38.99,38.99,last two years,5,271.79,5
P31421,1,Home & Furniture,5,0,39.99,39.99,last two years,5,275.05,5
P22424,5,Home & Furniture,5,0,0,40,only one year,5,276.97,5
P13460,2,Home & Furniture,5,0,0,39,only one year,5,278.78,5
P09447,3,Home & Furniture,5,0,0,34.9,only one year,5,280.25,5
P15156,4,Electronics & Technology,5,0,40.96,40.96,last two years,5,282.43,5
P29318,1,"Sports, Toys & Leisure",5,0,0,45.99,only one year,5,282.58,5
P09775,3,Home & Furniture,5,0,45.8,45.8,last two years,5,283.46,5
P13062,4,"Sports, Toys & Leisure",5,0,38.22,38.22,last two years,5,284.74,5
P07005,4,Fashion & Accessories,5,0,43.99,0,only one year,5,285.95,5
P30448,4,Electronics & Technology,5,0,0,44.89,only one year,5,288.49,5
P24275,4,"Construction tools ,arts & Others",5,0,47.89,47.89,last two years,5,289.66,5
P29558,1,Home & Furniture,5,0,48.36,48.36,last two years,5,292.03,5
P06589,4,"Sports, Toys & Leisure",5,0,33.8,0,only one year,5,293.82,5
P00444,4,"Sports, Toys & Leisure",5,0,46.55,0,only one year,5,294.29,5
P19449,5,"Construction tools ,arts & Others",5,0,0,44.7,only one year,5,298.26,5
P04835,3,"Sports, Toys & Leisure",5,0,45,45,last two years,5,299.56,5
P17844,2,Home & Furniture,5,0,46.99,46.99,last two years,5,299.75,5
P01308,4,"Sports, Toys & Leisure",5,0,44.99,0,only one year,5,306.75,5
P02194,3,Home & Furniture,5,0,0,42.22,only one year,5,312.08,5
P16855,4,"Sports, Toys & Leisure",5,0,47.5,47.5,last two years,5,313.91,5
P16871,3,"Sports, Toys & Leisure",5,0,49.95,0,only one year,5,315.17,5
P24422,3,Home & Furniture,5,0,49.99,49.99,last two years,5,322.34,5
P21460,2,Home & Furniture,5,0,54.9,54.9,last two years,5,324.98,5
P20413,3,"Construction tools ,arts & Others",5,0,0,46.1,only one year,5,325.15,5
P16046,4,"Sports, Toys & Leisure",5,0,0,49.39,only one year,5,327.96,5
P32673,5,"Construction tools ,arts & Others",5,0,0,45.99,only one year,5,328.17,5
P19911,2,"Sports, Toys & Leisure",5,0,50,50,last two years,5,329.45,5
P18224,4,Home & Furniture,5,0,49.9,0,only one year,5,330.3,5
P18816,4,Beauty & Personal Care,5,0,53.92,53.92,last two years,5,332.75,5
P13165,4,Beauty & Personal Care,5,0,36.85,0,only one year,5,335.04,5
P17787,5,"Construction tools ,arts & Others",5,0,0,53.99,only one year,5,337.35,5
P02436,4,Beauty & Personal Care,5,0,59.1,59.1,last two years,5,339.17,5
P19545,5,Home & Furniture,5,0,55.5,55.5,last two years,5,348.32,5
P00064,5,Beauty & Personal Care,5,0,0,44.9,only one year,5,348.6,5
P31223,3,"Construction tools ,arts & Others",5,0,53.95,53.95,last two years,5,349.04,5
P10225,4,"Sports, Toys & Leisure",5,0,56.99,56.99,last two years,5,352.25,5
P11905,3,Beauty & Personal Care,5,0,0,39.97,only one year,5,356.35,5
P24515,5,Home & Furniture,5,0,58.1,58.1,last two years,5,357.56,5
P09593,4,Home & Furniture,5,0,58.3,58.3,last two years,5,359.07,5
P26104,3,Home & Furniture,5,0,59.9,59.9,last two years,5,359.28,5
P20428,4,Home & Furniture,5,0,0,53.98,only one year,5,364.01,5
P16628,4,Home & Furniture,5,0,57.99,57.99,last two years,5,367.03,5
P06367,4,"Sports, Toys & Leisure",5,0,0,59,only one year,5,380.49,5
P29153,4,Home & Furniture,5,0,0,55.54,only one year,5,386.81,5
P31623,3,NULL,5,0,0,59.99,only one year,5,392.5,5
P22767,4,Beauty & Personal Care,5,0,64.69,64.69,last two years,5,398.99,5
P04923,4,Beauty & Personal Care,5,0,68,0,only one year,5,400.81,5
P24322,4,"Sports, Toys & Leisure",5,0,69,69,last two years,5,403.25,5
P00187,2,"Sports, Toys & Leisure",5,0,63,63,last two years,5,407.76,5
P05303,5,Home & Furniture,5,0,59.99,59.99,last two years,5,408.36,5
